No,Sun 5% (MW),Sun 10% (MW),Sun 15% (MW)
3402,23.5,47,99
3403,29.25,58.5,88.5
3404,32.5,65,70.5
3405,33,66,87.75
3406,29.5,59,97.5
3407,23.5,47,99
3408,29.25,58.5,88.5
3409,32.5,65,70.5
3410,33,66,87.75
3411,29.5,59,97.5
3412,23.5,47,99
3413,29.25,58.5,88.5
3414,32.5,65,70.5
3415,33,66,87.75
3416,29.5,59,97.5
3417,23.5,47,99
3418,29.25,58.5,88.5
3419,32.5,65,70.5
3420,33,66,87.75
3421,29.5,59,97.5
3422,23.5,47,99
3423,29.25,58.5,88.5
3424,32.5,65,70.5
3425,33,66,87.75
3426,29.5,59,97.5
3427,23.5,47,99
3428,29.25,58.5,88.5
3429,32.5,65,70.5
3430,33,66,87.75
3431,29.5,59,97.5
3432,23.5,47,99
3433,29.25,58.5,88.5
3434,32.5,65,70.5
3435,33,66,87.75
3436,29.5,59,97.5
3437,23.5,47,99
3438,29.25,58.5,88.5
3439,32.5,65,70.5
3440,33,66,87.75
3441,29.5,59,97.5
3442,23.5,47,99
3443,29.25,58.5,88.5
3444,32.5,65,70.5
3445,33,66,87.75
3446,29.5,59,97.5
3447,23.5,47,99
3448,29.25,58.5,88.5
3449,32.5,65,70.5
3450,33,66,87.75
3451,29.5,59,97.5
3452,23.5,47,99
3453,29.25,58.5,88.5
3454,32.5,65,70.5
3455,33,66,87.75
3456,29.5,59,97.5
3457,23.5,47,99
3458,29.25,58.5,88.5
3459,32.5,65,70.5
3460,33,66,87.75
3461,29.5,59,97.5
3462,23.5,47,99
3463,29.25,58.5,88.5
3464,32.5,65,70.5
3465,33,66,87.75
3466,29.5,59,97.5
3467,23.5,47,99
3468,29.25,58.5,88.5
3469,32.5,65,70.5
3470,33,66,87.75
3471,29.5,59,97.5
3472,23.5,47,99
3473,29.25,58.5,88.5
3474,32.5,65,70.5
3475,33,66,87.75
3476,29.5,59,97.5
3477,23.5,47,99
3478,29.25,58.5,88.5
3479,32.5,65,70.5
3480,33,66,87.75
3481,29.5,59,97.5
3482,23.5,47,99
3483,29.25,58.5,88.5
3484,32.5,65,70.5
3485,33,66,87.75
3486,29.5,59,97.5
3487,23.5,47,99
3488,29.25,58.5,88.5
3489,32.5,65,70.5
3490,33,66,87.75
3491,29.5,59,97.5
3492,23.5,47,99
3493,29.25,58.5,88.5
3494,32.5,65,70.5
3495,33,66,87.75
3496,29.5,59,97.5
3497,23.5,47,99
3498,29.25,58.5,88.5
3499,32.5,65,70.5
3500,33,66,87.75
3501,29.5,59,97.5
3502,23.5,47,99
3503,29.25,58.5,88.5
3504,32.5,65,70.5
3505,33,66,87.75
3506,29.5,59,97.5
3507,23.5,47,99
3508,29.25,58.5,88.5
3509,32.5,65,70.5
3510,33,66,87.75
3511,29.5,59,97.5
3512,23.5,47,99
3513,29.25,58.5,88.5
3514,32.5,65,70.5
3515,33,66,87.75
3516,29.5,59,97.5
3517,23.5,47,99
3518,29.25,58.5,88.5
3519,32.5,65,70.5
3520,33,66,87.75
3521,29.5,59,97.5
3522,23.5,47,99
3523,29.25,58.5,88.5
3524,32.5,65,70.5
3525,33,66,87.75
3526,29.5,59,97.5
3527,23.5,47,99
3528,29.25,58.5,88.5
3529,32.5,65,70.5
3530,33,66,87.75
3531,29.5,59,97.5
3532,23.5,47,99
3533,29.25,58.5,88.5
3534,32.5,65,70.5
3535,33,66,87.75
3536,29.5,59,97.5
3537,23.5,47,99
3538,29.25,58.5,88.5
3539,32.5,65,70.5
3540,33,66,87.75
3541,29.5,59,97.5
3542,23.5,47,99
3543,29.25,58.5,88.5
3544,32.5,65,70.5
3545,33,66,87.75
3546,29.5,59,97.5
3547,23.5,47,99
3548,29.25,58.5,88.5
3549,32.5,65,70.5
3550,33,66,87.75
3551,29.5,59,97.5
3552,23.5,47,99
3553,29.25,58.5,88.5
3554,32.5,65,70.5
3555,33,66,87.75
3556,29.5,59,97.5
3557,23.5,47,99
3558,29.25,58.5,88.5
3559,32.5,65,70.5
3560,33,66,87.75
3561,29.5,59,97.5
3562,23.5,47,99
3563,29.25,58.5,88.5
3564,32.5,65,70.5
3565,33,66,87.75
3566,29.5,59,97.5
3567,23.5,47,99
3568,29.25,58.5,88.5
3569,32.5,65,70.5
3570,33,66,87.75
3571,29.5,59,97.5
3572,23.5,47,99
3573,29.25,58.5,88.5
3574,32.5,65,70.5
3575,33,66,87.75
3576,29.5,59,97.5
3577,23.5,47,99
3578,29.25,58.5,88.5
3579,32.5,65,70.5
3580,33,66,87.75
3581,29.5,59,97.5
3582,23.5,47,99
3583,29.25,58.5,88.5
3584,32.5,65,70.5
3585,33,66,87.75
3586,29.5,59,97.5
3587,23.5,47,99
3588,29.25,58.5,88.5
3589,32.5,65,70.5
3590,33,66,87.75
3591,29.5,59,97.5
3592,23.5,47,99
3593,29.25,58.5,88.5
3594,32.5,65,70.5
3595,33,66,87.75
3596,29.5,59,97.5
3597,23.5,47,99
3598,29.25,58.5,88.5
3599,32.5,65,70.5
3600,33,66,87.75
3601,29.5,59,97.5
3602,23.5,47,99
3603,29.25,58.5,88.5
3604,32.5,65,70.5
3605,33,66,87.75
3606,29.5,59,97.5
3607,23.5,47,99
3608,29.25,58.5,88.5
3609,32.5,65,70.5
3610,33,66,87.75
3611,29.5,59,97.5
3612,23.5,47,99
3613,29.25,58.5,88.5
3614,32.5,65,70.5
3615,33,66,87.75
3616,29.5,59,97.5
3617,23.5,47,99
3618,29.25,58.5,88.5
3619,32.5,65,70.5
3620,33,66,87.75
3621,29.5,59,97.5
3622,23.5,47,99
3623,29.25,58.5,88.5
3624,32.5,65,70.5
3625,33,66,87.75
3626,29.5,59,97.5
3627,23.5,47,99
3628,29.25,58.5,88.5
3629,32.5,65,70.5
3630,33,66,87.75
3631,29.5,59,97.5
3632,23.5,47,99
3633,29.25,58.5,88.5
3634,32.5,65,70.5
3635,33,66,87.75
3636,29.5,59,97.5
3637,23.5,47,99
3638,29.25,58.5,88.5
3639,32.5,65,70.5
3640,33,66,87.75
3641,29.5,59,97.5
3642,23.5,47,99
3643,29.25,58.5,88.5
3644,32.5,65,70.5
3645,33,66,87.75
3646,29.5,59,97.5
3647,23.5,47,99
3648,29.25,58.5,88.5
3649,32.5,65,70.5
3650,33,66,87.75
3651,29.5,59,97.5
3652,23.5,47,99
3653,29.25,58.5,88.5
3654,32.5,65,70.5
3655,33,66,87.75
3656,29.5,59,97.5
3657,23.5,47,99
3658,29.25,58.5,88.5
3659,32.5,65,70.5
3660,33,66,87.75
3661,29.5,59,97.5
3662,23.5,47,99
3663,29.25,58.5,88.5
3664,32.5,65,70.5
3665,33,66,87.75
3666,29.5,59,97.5
3667,23.5,47,99
3668,29.25,58.5,88.5
3669,32.5,65,70.5
3670,33,66,87.75
3671,29.5,59,97.5
3672,23.5,47,99
3673,29.25,58.5,88.5
3674,32.5,65,70.5
3675,33,66,87.75
3676,29.5,59,97.5
3677,23.5,47,99
3678,29.25,58.5,88.5
3679,32.5,65,70.5
3680,33,66,87.75
3681,29.5,59,97.5
3682,23.5,47,99
3683,29.25,58.5,88.5
3684,32.5,65,70.5
3685,33,66,87.75
3686,29.5,59,97.5
3687,23.5,47,99
3688,29.25,58.5,88.5
3689,32.5,65,70.5
3690,33,66,87.75
3691,29.5,59,97.5
3692,23.5,47,99
3693,29.25,58.5,88.5
3694,32.5,65,70.5
3695,33,66,87.75
3696,29.5,59,97.5
3697,23.5,47,99
3698,29.25,58.5,88.5
3699,32.5,65,70.5
3700,33,66,87.75
3701,29.5,59,97.5
3702,23.5,47,99
3703,29.25,58.5,88.5
3704,32.5,65,70.5
3705,33,66,87.75
3706,29.5,59,97.5
3707,23.5,47,99
3708,29.25,58.5,88.5
3709,32.5,65,70.5
3710,33,66,87.75
3711,29.5,59,97.5
3712,23.5,47,99
3713,29.25,58.5,88.5
3714,32.5,65,70.5
3715,33,66,87.75
3716,29.5,59,97.5
3717,23.5,47,99
3718,29.25,58.5,88.5
3719,32.5,65,70.5
3720,33,66,87.75
3721,29.5,59,97.5
3722,23.5,47,99
3723,29.25,58.5,88.5
3724,32.5,65,70.5
3725,33,66,87.75
3726,29.5,59,97.5
3727,23.5,47,99
3728,29.25,58.5,88.5
3729,32.5,65,70.5
3730,33,66,87.75
3731,29.5,59,97.5
3732,23.5,47,99
3733,29.25,58.5,88.5
3734,32.5,65,70.5
3735,33,66,87.75
3736,29.5,59,97.5
3737,23.5,47,99
3738,29.25,58.5,88.5
3739,32.5,65,70.5
3740,33,66,87.75
3741,29.5,59,97.5
3742,23.5,47,99
3743,29.25,58.5,88.5
3744,32.5,65,70.5
3745,33,66,87.75
3746,29.5,59,97.5
3747,23.5,47,99
3748,29.25,58.5,88.5
3749,32.5,65,70.5
3750,33,66,87.75
3751,29.5,59,97.5
3752,23.5,47,99
3753,29.25,58.5,88.5
3754,32.5,65,70.5
3755,33,66,87.75
3756,29.5,59,97.5
3757,23.5,47,99
3758,29.25,58.5,88.5
3759,32.5,65,70.5
3760,33,66,87.75
3761,29.5,59,97.5
3762,23.5,47,99
3763,29.25,58.5,88.5
3764,32.5,65,70.5
3765,33,66,87.75
3766,29.5,59,97.5
3767,23.5,47,99
3768,29.25,58.5,88.5
3769,32.5,65,70.5
3770,33,66,87.75
3771,29.5,59,97.5
3772,23.5,47,99
3773,29.25,58.5,88.5
3774,32.5,65,70.5
3775,33,66,87.75
3776,29.5,59,97.5
3777,23.5,47,99
3778,29.25,58.5,88.5
3779,32.5,65,70.5
3780,33,66,87.75
3781,29.5,59,97.5
3782,23.5,47,99
3783,29.25,58.5,88.5
3784,32.5,65,70.5
3785,33,66,87.75
3786,29.5,59,97.5
3787,23.5,47,99
3788,29.25,58.5,88.5
3789,32.5,65,70.5
3790,33,66,87.75
3791,29.5,59,97.5
3792,23.5,47,99
3793,29.25,58.5,88.5
3794,32.5,65,70.5
3795,33,66,87.75
3796,29.5,59,97.5
3797,23.5,47,99
3798,29.25,58.5,88.5
3799,32.5,65,70.5
3800,33,66,87.75
3801,29.5,59,97.5
3802,23.5,47,99
3803,29.25,58.5,88.5
3804,32.5,65,70.5
3805,33,66,87.75
3806,29.5,59,97.5
3807,23.5,47,99
3808,29.25,58.5,88.5
3809,32.5,65,70.5
3810,33,66,87.75
3811,29.5,59,97.5
3812,23.5,47,99
3813,29.25,58.5,88.5
3814,32.5,65,70.5
3815,33,66,87.75
3816,29.5,59,97.5
3817,23.5,47,99
3818,29.25,58.5,88.5
3819,32.5,65,70.5
3820,33,66,87.75
3821,29.5,59,97.5
3822,23.5,47,99
3823,29.25,58.5,88.5
3824,32.5,65,70.5
3825,33,66,87.75
3826,29.5,59,97.5
3827,23.5,47,99
3828,29.25,58.5,88.5
3829,32.5,65,70.5
3830,33,66,87.75
3831,29.5,59,97.5
3832,23.5,47,99
3833,29.25,58.5,88.5
3834,32.5,65,70.5
3835,33,66,87.75
3836,29.5,59,97.5
3837,23.5,47,99
3838,29.25,58.5,88.5
3839,32.5,65,70.5
3840,33,66,87.75
3841,29.5,59,97.5
3842,23.5,47,99
3843,29.25,58.5,88.5
3844,32.5,65,70.5
3845,33,66,87.75
3846,29.5,59,97.5
3847,23.5,47,99
3848,29.25,58.5,88.5
3849,32.5,65,70.5
3850,33,66,87.75
3851,29.5,59,97.5
3852,23.5,47,99
3853,29.25,58.5,88.5
3854,32.5,65,70.5
3855,33,66,87.75
3856,29.5,59,97.5
3857,23.5,47,99
3858,29.25,58.5,88.5
3859,32.5,65,70.5
3860,33,66,87.75
3861,29.5,59,97.5
3862,23.5,47,99
3863,29.25,58.5,88.5
3864,32.5,65,70.5
3865,33,66,87.75
3866,29.5,59,97.5
3867,23.5,47,99
3868,29.25,58.5,88.5
3869,32.5,65,70.5
3870,33,66,87.75
3871,29.5,59,97.5
3872,23.5,47,99
3873,29.25,58.5,88.5
3874,32.5,65,70.5
3875,33,66,87.75
3876,29.5,59,97.5
3877,23.5,47,99
3878,29.25,58.5,88.5
3879,32.5,65,70.5
3880,33,66,87.75
3881,29.5,59,97.5
3882,23.5,47,99
3883,29.25,58.5,88.5
3884,32.5,65,70.5
3885,33,66,87.75
3886,29.5,59,97.5
3887,23.5,47,99
3888,29.25,58.5,88.5
3889,32.5,65,70.5
3890,33,66,87.75
3891,29.5,59,97.5
3892,23.5,47,99
3893,29.25,58.5,88.5
3894,32.5,65,70.5
3895,33,66,87.75
3896,29.5,59,97.5
3897,23.5,47,99
3898,29.25,58.5,88.5
3899,32.5,65,70.5
3900,33,66,87.75
3901,29.5,59,97.5
3902,23.5,47,99
3903,29.25,58.5,88.5
3904,32.5,65,70.5
3905,33,66,87.75
3906,29.5,59,97.5
3907,23.5,47,99
3908,29.25,58.5,88.5
3909,32.5,65,70.5
3910,33,66,87.75
3911,29.5,59,97.5
3912,23.5,47,99
3913,29.25,58.5,88.5
3914,32.5,65,70.5
3915,33,66,87.75
3916,29.5,59,97.5
3917,23.5,47,99
3918,29.25,58.5,88.5
3919,32.5,65,70.5
3920,33,66,87.75
3921,29.5,59,97.5
3922,23.5,47,99
3923,29.25,58.5,88.5
3924,32.5,65,70.5
3925,33,66,87.75
3926,29.5,59,97.5
3927,23.5,47,99
3928,29.25,58.5,88.5
3929,32.5,65,70.5
3930,33,66,87.75
3931,29.5,59,97.5
3932,23.5,47,99
3933,29.25,58.5,88.5
3934,32.5,65,70.5
3935,33,66,87.75
3936,29.5,59,97.5
3937,23.5,47,99
3938,29.25,58.5,88.5
3939,32.5,65,70.5
3940,33,66,87.75
3941,29.5,59,97.5
3942,23.5,47,99
3943,29.25,58.5,88.5
3944,32.5,65,70.5
3945,33,66,87.75
3946,29.5,59,97.5
3947,23.5,47,99
3948,29.25,58.5,88.5
3949,32.5,65,70.5
3950,33,66,87.75
3951,29.5,59,97.5
3952,23.5,47,99
3953,29.25,58.5,88.5
3954,32.5,65,70.5
3955,33,66,87.75
3956,29.5,59,97.5
3957,23.5,47,99
3958,29.25,58.5,88.5
3959,32.5,65,70.5
3960,33,66,87.75
3961,29.5,59,97.5
3962,23.5,47,99
3963,29.25,58.5,88.5
3964,32.5,65,70.5
3965,33,66,87.75
3966,29.5,59,97.5
3967,23.5,47,99
3968,29.25,58.5,88.5
3969,32.5,65,70.5
3970,33,66,87.75
3971,29.5,59,97.5
3972,23.5,47,99
3973,29.25,58.5,88.5
3974,32.5,65,70.5
3975,33,66,87.75
3976,29.5,59,97.5
3977,23.5,47,99
3978,29.25,58.5,88.5
3979,32.5,65,70.5
3980,33,66,87.75
3981,29.5,59,97.5
3982,23.5,47,99
3983,29.25,58.5,88.5
3984,32.5,65,70.5
3985,33,66,87.75
3986,29.5,59,97.5
3987,23.5,47,99
3988,29.25,58.5,88.5
3989,32.5,65,70.5
3990,33,66,87.75
3991,29.5,59,97.5
3992,23.5,47,99
3993,29.25,58.5,88.5
3994,32.5,65,70.5
3995,33,66,87.75
3996,29.5,59,97.5
3997,23.5,47,99
3998,29.25,58.5,88.5
3999,32.5,65,70.5
4000,33,66,87.75
4001,29.5,59,97.5
4002,23.5,47,99
4003,29.25,58.5,88.5
4004,32.5,65,70.5
4005,33,66,87.75
4006,29.5,59,97.5
4007,23.5,47,99
4008,29.25,58.5,88.5
4009,32.5,65,70.5
4010,33,66,87.75
4011,29.5,59,97.5
4012,23.5,47,99
4013,29.25,58.5,88.5
4014,32.5,65,70.5
4015,33,66,87.75
4016,29.5,59,97.5
4017,23.5,47,99
4018,29.25,58.5,88.5
4019,32.5,65,70.5
4020,33,66,87.75
4021,29.5,59,97.5
4022,23.5,47,99
4023,29.25,58.5,88.5
4024,32.5,65,70.5
4025,33,66,87.75
4026,29.5,59,97.5
4027,23.5,47,99
4028,29.25,58.5,88.5
4029,32.5,65,70.5
4030,33,66,87.75
4031,29.5,59,97.5
4032,23.5,47,99
4033,29.25,58.5,88.5
4034,32.5,65,70.5
4035,33,66,87.75
4036,29.5,59,97.5
4037,23.5,47,99
4038,29.25,58.5,88.5
4039,32.5,65,70.5
4040,33,66,87.75
4041,29.5,59,97.5
4042,23.5,47,99
4043,29.25,58.5,88.5
4044,32.5,65,70.5
4045,33,66,87.75
4046,29.5,59,97.5
4047,23.5,47,99
4048,29.25,58.5,88.5
4049,32.5,65,70.5
4050,33,66,87.75
4051,29.5,59,97.5
4052,23.5,47,99
4053,29.25,58.5,88.5
4054,32.5,65,70.5
4055,33,66,87.75
4056,29.5,59,97.5
4057,23.5,47,99
4058,29.25,58.5,88.5
4059,32.5,65,70.5
4060,33,66,87.75
4061,29.5,59,97.5
4062,23.5,47,99
4063,29.25,58.5,88.5
4064,32.5,65,70.5
4065,33,66,87.75
4066,29.5,59,97.5
4067,23.5,47,99
4068,29.25,58.5,88.5
4069,32.5,65,70.5
4070,33,66,87.75
4071,29.5,59,97.5
4072,23.5,47,99
4073,29.25,58.5,88.5
4074,32.5,65,70.5
4075,33,66,87.75
4076,29.5,59,97.5
4077,23.5,47,99
4078,29.25,58.5,88.5
4079,32.5,65,70.5
4080,33,66,87.75
4081,29.5,59,97.5
4082,23.5,47,99
4083,29.25,58.5,88.5
4084,32.5,65,70.5
4085,33,66,87.75
4086,29.5,59,97.5
4087,23.5,47,99
4088,29.25,58.5,88.5
4089,32.5,65,70.5
4090,33,66,87.75
4091,29.5,59,97.5
4092,23.5,47,99
4093,29.25,58.5,88.5
4094,32.5,65,70.5
4095,33,66,87.75
4096,29.5,59,97.5
4097,23.5,47,99
4098,29.25,58.5,88.5
4099,32.5,65,70.5
4100,33,66,87.75
4101,29.5,59,97.5
4102,23.5,47,99
4103,29.25,58.5,88.5
4104,32.5,65,70.5
4105,33,66,87.75
4106,29.5,59,97.5
4107,23.5,47,99
4108,29.25,58.5,88.5
4109,32.5,65,70.5
4110,33,66,87.75
4111,29.5,59,97.5
4112,23.5,47,99
4113,29.25,58.5,88.5
4114,32.5,65,70.5
4115,33,66,87.75
4116,29.5,59,97.5
4117,23.5,47,99
4118,29.25,58.5,88.5
4119,32.5,65,70.5
4120,33,66,87.75
4121,29.5,59,97.5
4122,23.5,47,99
4123,29.25,58.5,88.5
4124,32.5,65,70.5
4125,33,66,87.75
4126,29.5,59,97.5
4127,23.5,47,99
4128,29.25,58.5,88.5
4129,32.5,65,70.5
4130,33,66,87.75
4131,29.5,59,97.5
4132,23.5,47,99
4133,29.25,58.5,88.5
4134,32.5,65,70.5
4135,33,66,87.75
4136,29.5,59,97.5
4137,23.5,47,99
4138,29.25,58.5,88.5
4139,32.5,65,70.5
4140,33,66,87.75
4141,29.5,59,97.5
4142,23.5,47,99
4143,29.25,58.5,88.5
4144,32.5,65,70.5
4145,33,66,87.75
4146,29.5,59,97.5
4147,23.5,47,99
4148,29.25,58.5,88.5
4149,32.5,65,70.5
4150,33,66,87.75
4151,29.5,59,97.5
4152,23.5,47,99
4153,29.25,58.5,88.5
4154,32.5,65,70.5
4155,33,66,87.75
4156,29.5,59,97.5
4157,23.5,47,99
4158,29.25,58.5,88.5
4159,32.5,65,70.5
4160,33,66,87.75
4161,29.5,59,97.5
4162,23.5,47,99
4163,29.25,58.5,88.5
4164,32.5,65,70.5
4165,33,66,87.75
4166,29.5,59,97.5
4167,23.5,47,99
4168,29.25,58.5,88.5
4169,32.5,65,70.5
4170,33,66,87.75
4171,29.5,59,97.5
4172,23.5,47,99
4173,29.25,58.5,88.5
4174,32.5,65,70.5
4175,33,66,87.75
4176,29.5,59,97.5
4177,23.5,47,99
4178,29.25,58.5,88.5
4179,32.5,65,70.5
4180,33,66,87.75
4181,29.5,59,97.5
4182,23.5,47,99
4183,29.25,58.5,88.5
4184,32.5,65,70.5
4185,33,66,87.75
4186,29.5,59,97.5
4187,23.5,47,99
4188,29.25,58.5,88.5
4189,32.5,65,70.5
4190,33,66,87.75
4191,29.5,59,97.5
4192,23.5,47,99
4193,29.25,58.5,88.5
4194,32.5,65,70.5
4195,33,66,87.75
4196,29.5,59,97.5
4197,23.5,47,99
4198,29.25,58.5,88.5
4199,32.5,65,70.5
4200,33,66,87.75
4201,29.5,59,97.5
4202,23.5,47,99
4203,29.25,58.5,88.5
4204,32.5,65,70.5
4205,33,66,87.75
4206,29.5,59,97.5
4207,23.5,47,99
4208,29.25,58.5,88.5
4209,32.5,65,70.5
4210,33,66,87.75
4211,29.5,59,97.5
4212,23.5,47,99
4213,29.25,58.5,88.5
4214,32.5,65,70.5
4215,33,66,87.75
4216,29.5,59,97.5
4217,23.5,47,99
4218,29.25,58.5,88.5
4219,32.5,65,70.5
4220,33,66,87.75
4221,29.5,59,97.5
4222,23.5,47,99
4223,29.25,58.5,88.5
4224,32.5,65,70.5
4225,33,66,87.75
4226,29.5,59,97.5
4227,23.5,47,99
4228,29.25,58.5,88.5
4229,32.5,65,70.5
4230,33,66,87.75
4231,29.5,59,97.5
4232,23.5,47,99
4233,29.25,58.5,88.5
4234,32.5,65,70.5
4235,33,66,87.75
4236,29.5,59,97.5
4237,23.5,47,99
4238,29.25,58.5,88.5
4239,32.5,65,70.5
4240,33,66,87.75
4241,29.5,59,97.5
4242,23.5,47,99
4243,29.25,58.5,88.5
4244,32.5,65,70.5
4245,33,66,87.75
4246,29.5,59,97.5
4247,23.5,47,99
4248,29.25,58.5,88.5
4249,32.5,65,70.5
4250,33,66,87.75
4251,29.5,59,97.5
4252,23.5,47,99
4253,29.25,58.5,88.5
4254,32.5,65,70.5
4255,33,66,87.75
4256,29.5,59,97.5
4257,23.5,47,99
4258,29.25,58.5,88.5
4259,32.5,65,70.5
4260,33,66,87.75
4261,29.5,59,97.5
4262,23.5,47,99
4263,29.25,58.5,88.5
4264,32.5,65,70.5
4265,33,66,87.75
4266,29.5,59,97.5
4267,23.5,47,99
4268,29.25,58.5,88.5
4269,32.5,65,70.5
4270,33,66,87.75
4271,29.5,59,97.5
4272,23.5,47,99
4273,29.25,58.5,88.5
4274,32.5,65,70.5
4275,33,66,87.75
4276,29.5,59,97.5
4277,23.5,47,99
4278,29.25,58.5,88.5
4279,32.5,65,70.5
4280,33,66,87.75
4281,29.5,59,97.5
4282,23.5,47,99
4283,29.25,58.5,88.5
4284,32.5,65,70.5
4285,33,66,87.75
4286,29.5,59,97.5
4287,23.5,47,99
4288,29.25,58.5,88.5
4289,32.5,65,70.5
4290,33,66,87.75
4291,29.5,59,97.5
4292,23.5,47,99
4293,29.25,58.5,88.5
4294,32.5,65,70.5
4295,33,66,87.75
4296,29.5,59,97.5
4297,23.5,47,99
4298,29.25,58.5,88.5
4299,32.5,65,70.5
4300,33,66,87.75
4301,29.5,59,97.5
4302,23.5,47,99
4303,29.25,58.5,88.5
4304,32.5,65,70.5
4305,33,66,87.75
4306,29.5,59,97.5
4307,23.5,47,99
4308,29.25,58.5,88.5
4309,32.5,65,70.5
4310,33,66,87.75
4311,29.5,59,97.5
4312,23.5,47,99
4313,29.25,58.5,88.5
4314,32.5,65,70.5
4315,33,66,87.75
4316,29.5,59,97.5
4317,23.5,47,99
4318,29.25,58.5,88.5
4319,32.5,65,70.5
4320,33,66,87.75
4321,29.5,59,97.5
4322,23.5,47,99
4323,29.25,58.5,88.5
4324,32.5,65,70.5
4325,33,66,87.75
4326,29.5,59,97.5
4327,23.5,47,99
4328,29.25,58.5,88.5
4329,32.5,65,70.5
4330,33,66,87.75
4331,29.5,59,97.5
4332,23.5,47,99
4333,29.25,58.5,88.5
4334,32.5,65,70.5
4335,33,66,87.75
4336,29.5,59,97.5
4337,23.5,47,99
4338,29.25,58.5,88.5
4339,32.5,65,70.5
4340,33,66,87.75
4341,29.5,59,97.5
4342,23.5,47,99
4343,29.25,58.5,88.5
4344,32.5,65,70.5
4345,33,66,87.75
4346,29.5,59,97.5
4347,23.5,47,99
4348,29.25,58.5,88.5
4349,32.5,65,70.5
4350,33,66,87.75
4351,29.5,59,97.5
4352,23.5,47,99
4353,29.25,58.5,88.5
4354,32.5,65,70.5
4355,33,66,87.75
4356,29.5,59,97.5
4357,23.5,47,99
4358,29.25,58.5,88.5
4359,32.5,65,70.5
4360,33,66,87.75
4361,29.5,59,97.5
4362,23.5,47,99
4363,29.25,58.5,88.5
4364,32.5,65,70.5
4365,33,66,87.75
4366,29.5,59,97.5
4367,23.5,47,99
4368,29.25,58.5,88.5
4369,32.5,65,70.5
4370,33,66,87.75
4371,29.5,59,97.5
4372,23.5,47,99
4373,29.25,58.5,88.5
4374,32.5,65,70.5
4375,33,66,87.75
4376,29.5,59,97.5
4377,23.5,47,99
4378,29.25,58.5,88.5
4379,32.5,65,70.5
4380,33,66,87.75
4381,29.5,59,97.5
4382,23.5,47,99
4383,29.25,58.5,88.5
4384,32.5,65,70.5
4385,33,66,87.75
4386,29.5,59,97.5
4387,23.5,47,99
4388,29.25,58.5,88.5
4389,32.5,65,70.5
4390,33,66,87.75
4391,29.5,59,97.5
4392,23.5,47,99
4393,29.25,58.5,88.5
4394,32.5,65,70.5
4395,33,66,87.75
4396,29.5,59,97.5
4397,23.5,47,99
4398,29.25,58.5,88.5
4399,32.5,65,70.5
4400,33,66,87.75
4401,29.5,59,97.5
4402,23.5,47,99
4403,29.25,58.5,88.5
4404,32.5,65,70.5
4405,33,66,87.75
4406,29.5,59,97.5
4407,23.5,47,99
4408,29.25,58.5,88.5
4409,32.5,65,70.5
4410,33,66,87.75
4411,29.5,59,97.5
4412,23.5,47,99
4413,29.25,58.5,88.5
4414,32.5,65,70.5
4415,33,66,87.75
4416,29.5,59,97.5
4417,23.5,47,99
4418,29.25,58.5,88.5
4419,32.5,65,70.5
4420,33,66,87.75
4421,29.5,59,97.5
4422,23.5,47,99
4423,29.25,58.5,88.5
4424,32.5,65,70.5
4425,33,66,87.75
4426,29.5,59,97.5
4427,23.5,47,99
4428,29.25,58.5,88.5
4429,32.5,65,70.5
4430,33,66,87.75
4431,29.5,59,97.5
4432,23.5,47,99
4433,29.25,58.5,88.5
4434,32.5,65,70.5
4435,33,66,87.75
4436,29.5,59,97.5
4437,23.5,47,99
4438,29.25,58.5,88.5
4439,32.5,65,70.5
4440,33,66,87.75
4441,29.5,59,97.5
4442,23.5,47,99
4443,29.25,58.5,88.5
4444,32.5,65,70.5
4445,33,66,87.75
4446,29.5,59,97.5
4447,23.5,47,99
4448,29.25,58.5,88.5
4449,32.5,65,70.5
4450,33,66,87.75
4451,29.5,59,97.5
4452,23.5,47,99
4453,29.25,58.5,88.5
4454,32.5,65,70.5
4455,33,66,87.75
4456,29.5,59,97.5
4457,23.5,47,99
4458,29.25,58.5,88.5
4459,32.5,65,70.5
4460,33,66,87.75
4461,29.5,59,97.5
4462,23.5,47,99
4463,29.25,58.5,88.5
4464,32.5,65,70.5
4465,33,66,87.75
4466,29.5,59,97.5
4467,23.5,47,99
4468,29.25,58.5,88.5
4469,32.5,65,70.5
4470,33,66,87.75
4471,29.5,59,97.5
4472,23.5,47,99
4473,29.25,58.5,88.5
4474,32.5,65,70.5
4475,33,66,87.75
4476,29.5,59,97.5
4477,23.5,47,99
4478,29.25,58.5,88.5
4479,32.5,65,70.5
4480,33,66,87.75
4481,29.5,59,97.5
4482,23.5,47,99
4483,29.25,58.5,88.5
4484,32.5,65,70.5
4485,33,66,87.75
4486,29.5,59,97.5
4487,23.5,47,99
4488,29.25,58.5,88.5
4489,32.5,65,70.5
4490,33,66,87.75
4491,29.5,59,97.5
4492,23.5,47,99
4493,29.25,58.5,88.5
4494,32.5,65,70.5
4495,33,66,87.75
4496,29.5,59,97.5
4497,23.5,47,99
4498,29.25,58.5,88.5
4499,32.5,65,70.5
4500,33,66,87.75
4501,29.5,59,97.5
4502,23.5,47,99
4503,29.25,58.5,88.5
4504,32.5,65,70.5
4505,33,66,87.75
4506,29.5,59,97.5
4507,23.5,47,99
4508,29.25,58.5,88.5
4509,32.5,65,70.5
